1.85;-0.282243;-1.61009
1.86;-0.298313;-1.60397
1.87;-0.314322;-1.59771
1.88;-0.330267;-1.5913
1.89;-0.346147;-1.58474
1.9;-0.361961;-1.57803
1.91;-0.377707;-1.57119
1.92;-0.393384;-1.5642
1.93;-0.408991;-1.55706
1.94;-0.424525;-1.54979
1.95;-0.439986;-1.54237
1.96;-0.455372;-1.53482
1.97;-0.470682;-1.52713
1.98;-0.485914;-1.5193
1.99;-0.501068;-1.51133
2;-0.516141;-1.50323
2.01;-0.531132;-1.495
2.02;-0.54604;-1.48663
2.03;-0.560864;-1.47813
2.04;-0.575602;-1.4695
2.05;-0.590253;-1.46074
2.06;-0.604817;-1.45185
2.07;-0.61929;-1.44284
2.08;-0.633673;-1.43369
2.09;-0.647964;-1.42443
2.1;-0.662161;-1.41504
2.11;-0.676264;-1.40553
2.12;-0.690271;-1.39589
2.13;-0.704181;-1.38614
2.14;-0.717993;-1.37626
2.15;-0.731706;-1.36627
2.16;-0.745319;-1.35616
2.17;-0.758829;-1.34594
2.18;-0.772237;-1.3356
2.19;-0.785541;-1.32516
2.2;-0.79874;-1.31459
2.21;-0.811832;-1.30392
2.22;-0.824818;-1.29314
2.23;-0.837695;-1.28225
2.24;-0.850462;-1.27126
2.25;-0.86312;-1.26016
2.26;-0.875665;-1.24896
2.27;-0.888098;-1.23765
2.28;-0.900418;-1.22624
2.29;-0.912623;-1.21474
2.3;-0.924712;-1.20313
2.31;-0.936685;-1.19143
2.32;-0.948541;-1.17963
2.33;-0.960278;-1.16774
2.34;-0.971895;-1.15576
2.35;-0.983393;-1.14368
2.36;-0.994769;-1.13152
2.37;-1.00602;-1.11926
2.38;-1.01715;-1.10692
2.39;-1.02816;-1.09449
2.4;-1.03904;-1.08198
2.41;-1.0498;-1.06938
2.42;-1.06043;-1.05671
2.43;-1.07093;-1.04395
2.44;-1.08131;-1.03111
2.45;-1.09156;-1.0182
2.46;-1.10167;-1.00521
2.47;-1.11166;-0.992144
2.48;-1.12152;-0.979007
2.49;-1.13124;-0.965798
2.5;-1.14083;-0.95252
2.51;-1.15029;-0.939172
2.52;-1.15961;-0.925758
2.53;-1.1688;-0.912277
2.54;-1.17786;-0.898733
2.55;-1.18678;-0.885126
2.56;-1.19556;-0.871457
2.57;-1.20421;-0.857729
2.58;-1.21272;-0.843943
2.59;-1.22109;-0.8301
2.6;-1.22932;-0.816201
2.61;-1.23741;-0.802249
2.62;-1.24536;-0.788244
2.63;-1.25318;-0.774189
2.64;-1.26085;-0.760085
2.65;-1.26838;-0.745932
2.66;-1.27577;-0.731734
2.67;-1.28301;-0.717491
2.68;-1.29012;-0.703204
2.69;-1.29708;-0.688876
2.7;-1.30389;-0.674508
2.71;-1.31057;-0.660101
2.72;-1.31709;-0.645656
2.73;-1.32348;-0.631177
2.74;-1.32972;-0.616663
2.75;-1.33581;-0.602116
2.76;-1.34176;-0.587538
